Interval,Product,Pice,Order Quantity,Year,Month
02/01/2020,Acer Chromebook C733-C0JV 11.6&#039;&#039; HD LCD Celeron N4000 4GB eMMC 32GB 02.11ac + BT No ODD TPM 1.2 Google Chrome OS,"5,799",1,2020,January
02/01/2020,Acer Spin 1 | intel Pentium | 11.6&quot; Touch | Convertible | Grey | SP111-34N | Windows 10 Home in S mode,"9,199",1,2020,January
03/01/2020,"Acer Extensa 2519,Windows10 Home, Intel ® Celeron™,15.6&quot;,4GB RAM,500GB HDD","3,699",1,2020,January
03/01/2020,Acer Nitro 5 |  i7 9750Hk | Win 10 Home | NVIDIA GeForce GTX 1050 3GB GDDR5 | 15.6&#039;&#039; FHD | Black | AN515-54-77VP,"14,999",1,2020,January
04/01/2020,"Acer Extensa 2519,Windows10 Home, Intel ® Celeron™,15.6&quot;,4GB RAM,500GB HDD","3,699",1,2020,January
06/01/2020,"AIO S24-880, Intel i7-8550U, 16GB, 1TB HDD, 23.8&quot; FHD NT, Wifi Wireless KB + Mouse, Windows 10 Home","20,499",1,2020,January
06/01/2020,Acer Spin 1 | Celeron N4000 | Win 10H | 11.6&quot; HD | Convertible Touch | Black | SP111-33-C7R1,"4,999",1,2020,January
06/01/2020,Acer Nitro 5 |  i7 9750Hk | Win 10 Home | NVIDIA GeForce GTX 1050 3GB GDDR5 | 15.6&#039;&#039; FHD | Black | AN515-54-77VP,"14,999",1,2020,January
06/01/2020,"Acer Extensa 2519,Windows10 Home, Intel ® Celeron™,15.6&quot;,4GB RAM,500GB HDD","3,699",1,2020,January
07/01/2020,"Chromebook CB714-1W, 14&#039;&#039;FHD, i3-8130U, 8GB, 32Gb eMMC, Wireless + BT, TMP 2.1 Google Chrome","9,199",1,2020,January
09/01/2020,Aspire A317-51-56JE 17.3&#039;&#039;HD i5-8265U 8GB (4GB OB+4GB) 1000GB SD Card reader 802.11ac + BT DVD Windows 10 Home 64Bit Black,"11,999",2,2020,January
11/01/2020,Acer Predator 300 PH317-53-71HT;i7-9750H;17;3&#039;&#039; FHD 144Hz Slim;NVIDIA GF GTX1660Ti 6GB;8GB+8GB(16GB);512GB SSD;Backlit KB;WIN10H,"22,999",1,2020,January
12/01/2020,Acer Predator 300 PH317-53-71HT;i7-9750H;17;3&#039;&#039; FHD 144Hz Slim;NVIDIA GF GTX1660Ti 6GB;8GB+8GB(16GB);512GB SSD;Backlit KB;WIN10H,"22,999",1,2020,January
14/01/2020,Acer Nitro 5 | Intel Core i5-8300H | Win 10 Home | NVIDIA® GeForce® GTX 1050 | 15.6&quot; FHD | Black | AN515-52-57VA,"10,999",1,2020,January
16/01/2020,"Acer Projector | 3600 Lumens | HDMI,VGA | Black | X118H ","4,999",1,2020,January
17/01/2020,ACER EX2540-57JR  Intel® Core™ I5-7200U | 15.6&#039;&#039; HD 4 GB DDR4 Low Voltage Memory|1000GB HDD Windows 10 Home,"8,499",1,2020,January
17/01/2020,"Acer Extensa 2519,Windows10 Home, Intel ® Celeron™,15.6&quot;,4GB RAM,500GB HDD","3,699",1,2020,January
18/01/2020,Acer Aspire 3  | Intel® Celeron™ N3060 | Win10 Home | 15&quot; HD | Black |  A315-33-C9EB,"4,799",1,2020,January
19/01/2020,Acer Spin 3 | i5-8265U | Win 10 Home  | 14&#039;&#039; FHD | Convertible Touch |  Steel Grey | SP314-52-56DP,"11,999",1,2020,January
19/01/2020,Acer Predator Helios 300 PH315-52-78QA | 15.6&#039;&#039; FHD IPS |  i7-9750HH | NVMe SSD GTX1660Ti 6GB | Windows 10 Home | Black,"28,999",1,2020,January
20/01/2020,"Acer Aspire A315-53G-88XK, Intel Core i7-8550U, 15;6&#039;&#039; FHD A LED LCD, NVIDIA GeForce MX130,  OB4GB DDR4 Memory + 4GB DDR4 Memory, 512GB SSD, Win 10 Home 64-bit","11,999",1,2020,January
20/01/2020,Acer Nitro 5 | Intel Core i5-8300H | Win 10 Home | NVIDIA® GeForce® GTX 1050 | 15.6&quot; FHD | Black | AN515-52-57VA,"10,999",1,2020,January
21/01/2020,Acer Nitro 5 | Intel Core i5-8300H | Win 10 Home | NVIDIA® GeForce® GTX 1050 | 15.6&quot; FHD | Black | AN515-52-57VA,"10,999",1,2020,January
22/01/2020,"Acer Aspire A315-53G-88XK, Intel Core i7-8550U, 15;6&#039;&#039; FHD A LED LCD, NVIDIA GeForce MX130,  OB4GB DDR4 Memory + 4GB DDR4 Memory, 512GB SSD, Win 10 Home 64-bit","11,999",1,2020,January
23/01/2020,"Acer Projector | 3600 Lumens | HDMI,VGA | Black | X118H ","4,999",1,2020,January
28/01/2020,Acer Nitro 5 |  i7 9750Hk | Win 10 Home | NVIDIA GeForce GTX 1050 3GB GDDR5 | 15.6&#039;&#039; FHD | Black | AN515-54-77VP,"14,999",1,2020,January
29/01/2020,Acer Nitro 5 |  i7 9750Hk | Win 10 Home | NVIDIA GeForce GTX 1050 3GB GDDR5 | 15.6&#039;&#039; FHD | Black | AN515-54-77VP,"14,999",1,2020,January
31/01/2020,Acer Predator 300 PH317-53-71HT;i7-9750H;17;3&#039;&#039; FHD 144Hz Slim;NVIDIA GF GTX1660Ti 6GB;8GB+8GB(16GB);512GB SSD;Backlit KB;WIN10H,"22,999",1,2020,January
01/02/2020,"Acer Extensa 2519,Windows10 Home, Intel ® Celeron™,15.6&quot;,4GB RAM,500GB HDD","3,699",1,2020,February
01/02/2020,Acer Nitro 5 | Intel Core i5-8300H | Win 10 Home | NVIDIA® GeForce® GTX 1050 | 15.6&quot; FHD | Black | AN515-52-57VA,"10,999",1,2020,February
05/02/2020,Acer Aspire 1 | Intel Celeron N4000 | Win10 Home | 14&quot; HD | Blue | A114-32-C3JE,"3,999",1,2020,February
06/02/2020,"Acer Extenza X2540, Intel Core i3-7130U, 4GB, 1TB HDD DVD-Writer, 15.6&#039;&#039; HD  LCD, HD Cam, Windows 10 Pro","5,499",2,2020,February
07/02/2020,Acer Predator 300 PH317-53-71HT;i7-9750H;17;3&#039;&#039; FHD 144Hz Slim;NVIDIA GF GTX1660Ti 6GB;8GB+8GB(16GB);512GB SSD;Backlit KB;WIN10H,"22,999",1,2020,February
08/02/2020,Acer Nitro 5 | Intel Core i5-8300H | Win 10 Home | NVIDIA® GeForce® GTX 1050 | 15.6&quot; FHD | Black | AN515-52-57VA,"10,999",1,2020,February
09/02/2020,Acer Nitro 5 |  i7 9750Hk | Win 10 Home | NVIDIA GeForce GTX 1050 3GB GDDR5 | 15.6&#039;&#039; FHD | Black | AN515-54-77VP,"14,999",1,2020,February
10/02/2020,Acer Predator 300 PH317-53-71HT;i7-9750H;17;3&#039;&#039; FHD 144Hz Slim;NVIDIA GF GTX1660Ti 6GB;8GB+8GB(16GB);512GB SSD;Backlit KB;WIN10H,"22,999",2,2020,February
10/02/2020,Acer monitor 27&#039;&#039; | 1ms | G-Sync 144Hz | HDMI | Black | XB271HUAbmiprz,"7,599",1,2020,February
11/02/2020,Acer Nitro 5 | Intel Core i5-8300H | Win 10 Home | NVIDIA® GeForce® GTX 1050 | 15.6&quot; FHD | Black | AN515-52-57VA,"10,999",2,2020,February
11/02/2020,Acer Nitro 5 |  i7 9750Hk | Win 10 Home | NVIDIA GeForce GTX 1050 3GB GDDR5 | 15.6&#039;&#039; FHD | Black | AN515-54-77VP,"14,999",1,2020,February
13/02/2020,"Acer Extensa 2519,Windows10 Home, Intel ® Celeron™,15.6&quot;,4GB RAM,500GB HDD","3,699",1,2020,February
14/02/2020,Acer Aspire 5 A515-54G-711H|Core i7-8565U|15.6&#039;&#039; FHD|NVIDIA GF MX250 2GB GDDR5|WIN10H|Black,"14,999",2,2020,February
14/02/2020,"Acer Travelmate, TMP215-51G-5594, 15.6&#039;&#039;HD, i5-8250U, 4GB OB, 1000GB HDD + 256GB PCIe NVMe SSD, MX230 2GB, Windows 10 Pro 64Bit","14,799",1,2020,February
14/02/2020,"Aspire XC-830,Windows 10 Home,Intel ® Celeron™J4005, 4GB RAM,500GB HDD ","4,299",1,2020,February
14/02/2020,Acer Nitro 5 |  i7 9750Hk | Win 10 Home | NVIDIA GeForce GTX 1050 3GB GDDR5 | 15.6&#039;&#039; FHD | Black | AN515-54-77VP,"14,999",1,2020,February
15/02/2020,"Acer Aspire 3 A315-32-C770, 15.6&#039;,&#039; N4000, 4GB OB DDR4, 500GB, Windows 10 Home, RED","3,999",1,2020,February
15/02/2020,Acer monitor 27&#039;&#039; | 1ms | G-Sync 144Hz | HDMI | Black | XB271HUAbmiprz,"7,599",1,2020,February
17/02/2020,"Acer Projector | 3600 Lumens | HDMI,VGA | Black | X118H ","4,999",1,2020,February
17/02/2020,"Acer Aspire 3 A315-32-C770, 15.6&#039;,&#039; N4000, 4GB OB DDR4, 500GB, Windows 10 Home, RED","3,999",1,2020,February
